event_id,end_to_end,processing_time,latency,consensus_latency
614d5ef7-375a-4ba5-8f33-b1a750c3795a,1.804043,0.125528,1.678515,0.052346
26ee6c54-8cb3-46ef-97ea-1033598045d0,1.615201,0.097873,1.517328,0.047688
31590820-27fd-4345-b4c0-0df3ea5ed416,2.059998,0.083955,1.976043,0.077037
4b1f5a16-36ce-45b2-8ba1-5e7658e104cf,1.602393,0.071183,1.53121,0.076681
2e8a2494-a80e-4864-b9a6-d19546c9df8f,1.778517,0.017662,1.760855,0.008812
ff1c20d0-30c2-4ff4-98f1-f414b800717a,1.895581,0.011878,1.883703,0.015814
5e624891-15f6-412c-afa3-afe8c53e3a7f,2.392825,0.168007,2.224818,0.061346
0c66371e-fbeb-4ec9-a77c-cb8e54be2401,2.112684,0.011715,2.100969,0.061366
8c5d124e-efdf-455e-aa9c-93e0f28c8c37,1.706006,0.02263,1.683376,0.041745
f35227db-4880-41e0-9bd5-32e9b9a47975,1.336169,0.012043,1.324126,0.044264
1b469b4a-a0f0-4f11-83aa-e28101e1c4ff,1.802466,0.168428,1.634038,0.059854
7af06d0b-33dd-4027-9edc-ff6f4f50adf3,1.900278,0.008544,1.891734,0.021178
b1d68a4e-5bb3-4ecc-ae35-6f7c0dd174b6,1.389975,0.022457,1.367518,0.018658
a032735c-9c18-47ff-b9c3-3ad380db5bdc,1.570632,0.013918,1.556714,0.014038
09ab1a34-ebec-4c01-b6e4-16afadcd12b5,2.288896,0.01269,2.276206,0.025921
8216f783-ba37-4926-99a2-331eb9eb8310,1.636353,0.025563,1.61079,0.05797
c513b1d0-26cc-4387-a6aa-2aec6b5b1b81,2.244186,0.013282,2.230904,0.017337
48551e9c-562f-4a29-bf2a-aa3745dc06fb,1.631248,0.027756,1.603492,0.02774
a000df9a-159a-4625-a1c1-ff9a0819a563,1.722187,0.014285,1.707902,0.009922
f7c350ab-8b48-4151-a735-0cf66d8e1d15,1.376549,0.011432,1.365117,0.010281
47544127-87e5-4a09-b7da-a32ff9035d93,1.785165,0.028707,1.756458,0.047413
2397435c-485d-4b1c-9281-86bac9b67f3f,1.125735,0.012235,1.1135,0.03478
a0e2c5ec-9a12-4784-9be8-fb9511858cad,2.113385,0.01205,2.101335,0.010347
f46afdac-fd22-4c76-9065-a3e8ef5c54e3,1.875393,0.022745,1.852648,0.041571
31e3eb2f-29ac-4fad-8cff-1b7242bb8ac1,1.559806,0.011018,1.548788,0.043538
87941d2e-aa83-4267-a982-9b2dbed884fa,2.072589,0.030653,2.041936,0.063076
1972df39-4f6b-4f60-a9fc-f9f6cb5a7b98,1.590201,0.046479,1.543722,0.012287
23368592-54b6-4d25-b78d-bd2f3105c9d6,2.134254,0.012726,2.121528,0.025549
00bcee4f-2d73-4e77-9d6c-aaccb0a36da8,1.874162,0.026645,1.847517,0.030595
e79754ab-f5e7-4361-9cad-c3980af02d09,2.429807,0.015553,2.414254,0.032093
201fc8a7-a670-4b33-a3af-7e9ecf983da0,1.771544,0.012443,1.759101,0.016032
f8d29948-155b-483a-b482-a002b2ccd91b,2.11722,0.025754,2.091466,0.057041
bb484f8b-5d48-41f0-9214-81718baf3726,2.442867,0.042061,2.400806,0.021575
4689f0da-d5da-4b5f-90f4-d170d1950f2d,1.503801,0.0118,1.492001,0.015433
14824e57-c5c3-4051-84cf-f8efcbcca701,2.548686,0.029536,2.51915,0.065199
99a4af93-83f7-46d5-8774-c14497c4de57,1.926779,0.012919,1.91386,0.028701
a8a1aa51-ce0c-4c0a-bf30-56587ef0fe6a,1.941789,0.011198,1.930591,0.042214
64e8cf95-d7ff-4569-9e77-34d3db54517a,1.687535,0.036781,1.650754,0.043936
ab3f18f5-d1a3-4a76-9744-aaba1762d4ba,2.020919,0.01186,2.009059,0.014152
21f6ee78-ddb6-4f04-b403-55c1cb5bddf9,1.734368,0.01069,1.723678,0.013238
cc549558-9982-4738-b018-b9b64b1dce00,1.472647,0.025358,1.447289,0.01916
ed4d9445-fea0-41cd-82b7-a7177000d878,1.830658,0.010926,1.819732,0.045039
c39906da-0074-46cc-9ac4-b3a1d6d7c610,1.577681,0.029722,1.547959,0.055635
bdb4eb95-209a-4ee6-ab32-e90cffea78a9,1.984064,0.010104,1.97396,0.027718
6f588aa1-f94e-4abe-9842-747da1dfe182,1.712051,0.023668,1.688383,0.024825
b37965f4-41a0-4758-8016-65ab60e0be8e,1.451944,0.013376,1.438568,0.04936
525738a7-7305-4896-8014-ab16459fa2f0,2.115136,0.013516,2.10162,0.033297
3468bf50-dc02-499f-8a80-61bee4c0188e,1.765257,0.025441,1.739816,0.012376
73d95451-0f30-473a-bc75-5405f132cf2e,1.35505,0.008913,1.346137,0.011553
d813ec92-7a05-471c-9c46-5ba408cac85a,2.357246,0.011805,2.345441,0.023395
9b883d88-4010-494e-820e-8ef120db50b9,1.792898,0.027813,1.765085,0.026447
46f406c4-e55d-4803-a7f1-4f49ccc0ea51,2.087853,0.016614,2.071239,0.003418
243e0ced-b9d3-413f-98f6-da5e7da874ea,1.777039,0.011619,1.76542,0.040078
c6060bda-58a7-479e-ba9f-a83ba12cc0ea,1.643143,0.02969,1.613453,0.038674
c458c765-a766-415a-8d2a-82c099d5720c,2.229398,0.015563,2.213835,0.056073
67f802ed-9c11-4675-bace-a5ecc5126542,1.836569,0.011381,1.825188,0.010081
ea796e95-1900-4705-a200-f985d976f56d,2.256339,0.024852,2.231487,0.068922
b5d463ec-4b36-4bc7-84e1-77548a4328db,1.930265,0.008803,1.921462,0.032322
5dd1e50f-d04c-43a4-85bb-e47e0a39fe6f,2.295041,0.010665,2.284376,0.059163
42534ea5-1d43-4700-9f57-f846d3848a8d,1.705843,0.03233,1.673513,0.032557
1e3c1076-6199-455f-b3aa-e6604533428b,1.446516,0.013717,1.432799,0.056812
6cf4cdda-89cd-496d-982b-1504840bcb33,1.675348,0.011392,1.663956,0.038801
1206e43f-b325-4ea0-891f-1c03383e8f81,1.445484,0.023345,1.422139,0.019482
56484399-eaf8-4698-b730-ec3b8d367ffb,1.715952,0.01227,1.703682,0.030614
b0bb5772-6917-4562-b932-03755db1bf3b,2.238622,0.028475,2.210147,0.067312
d001146f-1845-425d-8105-c118955481f0,1.927477,0.01559,1.911887,0.058854
de8319e6-9ab4-4363-8621-4e74a5fb202f,1.458902,0.01208,1.446822,0.014606
d1956e42-06b4-4e6c-bf19-553eb4cfaddd,2.151119,0.025163,2.125956,0.042019
10b2ce32-3e27-472c-a3dc-5948b51060d7,1.865871,0.015446,1.850425,0.040228
0edff88e-e320-4d23-9c7c-058297fd68c9,1.024533,0.010795,1.013738,0.003724
5283e48c-5619-40c8-afa9-b508572e3f1d,1.365861,0.027409,1.338452,0.041143
305574a7-c056-4b78-9869-4777ef62be13,0.938824,0.011442,0.927382,0.020462
77078e3d-f6d5-421f-831b-4b7ccf8a53f1,1.563941,0.012375,1.551566,0.017949
4b1a33fd-31ab-4272-b14f-1cb5592fbb2c,1.025659,0.023255,1.002404,0.05113
17f2d2aa-8728-4f44-b88c-2d4cdc2f9b83,1.773346,0.016548,1.756798,0.035187
221dc448-6825-4f59-b454-6d91ec391e66,2.333062,0.012752,2.32031,0.057982
a414d81c-32a9-4a6d-bbfd-93a010f89b02,1.952678,0.028253,1.924425,0.063949
76824a79-d2c9-4441-b2eb-6df31cd961f8,2.232599,0.011772,2.220827,0.003407
861dbc98-c10b-4887-8f02-c02a83177a95,1.635367,0.025399,1.609968,0.038516
84061aab-8217-4eaf-8293-bbc74fc52d8f,2.065478,0.016113,2.049365,0.027195
05526a89-a141-48e2-98d6-1a5345e726a5,1.518357,0.011646,1.506711,0.007528
6203251c-0288-44e9-ad6a-1be81f504b6d,2.288233,0.030696,2.257537,0.049806
6e8cd1c7-1757-478d-8de6-4d5649166fda,1.756739,0.008387,1.748352,0.008784
c47e5b6b-1402-4faa-98f7-85f25f9ab4da,2.474124,0.026537,2.447587,0.055808
05577e65-4bcf-4fca-b9cb-2112e33a2e67,1.915238,0.014992,1.900246,0.01935
bd0462d2-39ed-4cb0-aeb6-911cdbf28b37,2.071207,0.012092,2.059115,0.051796
902cdf84-f022-48f5-abb1-d0edee3732fc,1.381847,0.029266,1.352581,0.047534
7c662d10-ebca-4ce3-9d57-918047e2fc81,1.859516,0.013503,1.846013,0.03289
5e97c4b6-9e85-4293-9409-9a6777dcc734,1.261519,0.015235,1.246284,0.018001
1953f1a6-607d-4cf3-a8c1-5d56ce18d001,1.624498,0.011973,1.612525,0.039836
4eb365cd-d646-45cc-bc74-53fab45633c8,1.277831,0.033069,1.244762,0.014391
114ee480-8140-4eb4-a6af-2e495ec58378,1.619412,0.01482,1.604592,0.017059
d74829d8-f9a1-4c21-8fcc-f43689f0fdd3,1.920216,0.026916,1.8933,0.014979
9c922139-5d2f-444d-bae8-3c72ee597565,1.310025,0.012699,1.297326,0.050784
0946133b-04bc-4623-b235-13c596d87b58,1.912144,0.011805,1.900339,0.030457
61be3700-8383-460c-94bd-44dbf8b0e935,2.187613,0.028482,2.159131,0.058476
cd435817-e788-4592-b232-4de7df522138,1.651317,0.010112,1.641205,0.050462
6057c6e0-e0a5-4355-bdfe-c4d1abdd173f,2.006399,0.011337,1.995062,0.047719
af42d672-3b26-4286-b96a-3cf972b7f0ec,1.548827,0.022355,1.526472,0.043291
500e67c2-bc8d-4e92-bb5c-e3698dcb70bb,1.728898,0.013702,1.715196,0.036802
c12a2a1d-a2e5-4e09-8c65-d619e71e62c5,2.375549,0.011088,2.364461,0.022308
12e8f109-64ac-47ff-9030-e41a2a6525ad,1.846113,0.025307,1.820806,0.062843
ef4224ea-1b32-4f3e-bb4f-ea3d4ac7ac49,2.13621,0.014323,2.121887,0.035325
