event_id,end_to_end,processing_time,latency
b6794cc0-d4ca-4353-8e11-83c06d6fdb29,0.127621,0.106458,0.021163
143d6662-60fe-45ed-9072-16b508ae0300,0.259646,0.146669,0.112977
6c761698-03cf-446f-b47d-45c220c1ca3d,0.338467,0.087985,0.250482
75736195-af92-4921-add1-304b0d702aa7,0.403541,0.072989,0.330552
436022a5-f030-4bfe-9437-6f1850d7ee40,0.395383,0.004494,0.390889
36462541-79a6-443c-a6e7-4b6344e1bd17,0.368748,0.006344,0.362404
61603f88-64b5-41a1-8f2d-9f41a8fd368e,0.020695,0.011367,0.009328
64581150-078c-4c81-8d34-ac7540699997,0.192834,0.17968,0.013154
bd229a10-e95a-45b0-886d-6b711dd0cd35,0.019556,0.01167,0.007886
b3e2c514-c0d2-44ae-ba6b-2ab405e823d0,0.03663,0.024643,0.011987
30d9d2bc-92fb-4157-8f31-108d7b6ba397,0.021428,0.012881,0.008547
f4363767-f1b8-48ec-8274-8f988a72628d,0.041131,0.027791,0.01334
3b27e525-d858-4afe-abdb-3fbf390cc2a5,0.023668,0.015075,0.008593
a87cbe39-3d3f-42ed-b966-bcda1da39186,0.205588,0.190156,0.015432
88c4d716-6c97-4f11-8320-b9ead24d2142,0.23346,0.035527,0.197933
56b32f52-21c9-43df-8403-8920d4d0f27c,0.020373,0.012194,0.008179
3f46fea3-34e5-463c-9817-9d2f6c481f86,0.038211,0.025495,0.012716
a696b006-8468-49b0-b62e-e55b901042fa,0.019679,0.011838,0.007841
ef8cc620-b430-460f-aea2-3eab4c9537c4,0.041538,0.029301,0.012237
3b7521ab-c6a4-4f2e-94ec-100bb9b379d7,0.048413,0.014021,0.034392
75c15f1c-5276-4507-8c5f-0655679af4b8,0.022303,0.013662,0.008641
e22b33c6-224c-4c3b-9167-ba7487a1fd0c,0.042973,0.028495,0.014478
763f25a1-4ec6-40dd-bab3-051bbf0b3b1c,0.020423,0.011729,0.008694
a51b0de3-be2a-4e92-b993-8594f429e286,0.035608,0.023081,0.012527
aae5c1b3-ce8b-452b-8b8d-5add9659ec11,0.021816,0.014516,0.0073
6a6e80aa-ef40-4a2a-864e-9a1b8ebf2635,0.041764,0.02708,0.014684
d417928c-ea4d-414b-a393-44191d2de5af,0.046547,0.012653,0.033894
6ac0df36-aa14-470b-89cf-a0dcdb9f780f,0.018183,0.010727,0.007456
95913b16-859b-473f-89b6-e13c3fa6a482,0.030859,0.019844,0.011015
ff0a439f-14c4-43d4-92f6-6acac18cc094,0.032788,0.009022,0.023766
951e2a7e-d73d-48e7-8dd5-739b22c85533,0.020568,0.01235,0.008218
5672d7d5-96a7-442a-a9fd-bfaeb9fc1c43,0.038604,0.02565,0.012954
9b6b4c34-1a1f-43c0-bf47-c6caa805eb0a,0.043537,0.013252,0.030285
559c9e86-9ec1-4d6c-a78f-268dd604aa3a,0.021462,0.013612,0.00785
8c81ac90-b138-40b1-956a-23aec5f59776,0.038012,0.023926,0.014086
454ef714-3e52-457e-8332-bec899ae5411,0.040616,0.011151,0.029465
fdd3f497-4317-4d75-8b5b-574e80e091a7,0.021544,0.012191,0.009353
0a7d9025-8044-4573-bb0e-0643fa706599,0.035958,0.02249,0.013468
566c25a4-5131-45b4-b676-b73db6e61891,0.01834,0.010662,0.007678
25358b6a-961b-4397-a6a3-f1dc27a6906e,0.049968,0.038972,0.010996
b7cfb4e2-d068-41b5-9903-569478e8198b,0.054613,0.011812,0.042801
b301d8f4-2880-4b27-b4f2-6b5bb87fa638,0.021336,0.013344,0.007992
6b938592-2da9-4583-bb42-99d886ea4b8b,0.037663,0.023636,0.014027
ab474ed1-89e6-49fc-9a85-b5ae5c7b2e51,0.041256,0.011311,0.029945
30fe33aa-38a1-459b-859c-fac4a155cf4b,0.02109,0.013018,0.008072
81f0326a-132e-43a5-aec7-f4316c22344c,0.03988,0.02624,0.01364
f21c7473-d3c5-414e-bf07-5ece1cbf64ed,0.019773,0.011652,0.008121
051e357b-db04-4f8c-8cba-cacff88054c6,0.036238,0.023945,0.012293
62eb8a88-5eb8-4af9-8b4f-bef052c87dc6,0.019817,0.011362,0.008455
d8b308d6-4dc6-43a8-a5ec-d1af8209cfed,0.038099,0.026025,0.012074
