Time,Action,Pod,Zone
21,Add,user1,C
23,Move,user1,A
33,Move,user1,B
34,Move,user1,A
39,Move,user1,B
40,Move,user1,C
45,Move,user1,A
50,Move,user1,B
32,Add,user2,B
34,Move,user2,A
35,Move,user2,B
43,Move,user2,C
47,Move,user2,A
52,Move,user2,B
38,Add,user3,C
29,Add,user4,A
41,Move,user4,B
53,Move,user4,C
54,Move,user4,A
55,Add,user5,C
57,Move,user5,A
12,Add,user6,A
19,Move,user6,B
20,Move,user6,C
23,Move,user6,A
24,Move,user6,B
36,Move,user6,C
38,Move,user6,A
39,Move,user6,B
50,Delete,user6,B
55,Add,user7,C
14,Add,user8,B
16,Move,user8,C
20,Move,user8,A
22,Add,user9,A
23,Move,user9,B
30,Move,user9,A
32,Move,user9,B
40,Delete,user9,B
48,Add,user10,B
35,Add,user11,B
57,Add,user12,A
58,Move,user12,B
17,Add,user13,C
20,Move,user13,A
27,Move,user13,B
29,Move,user13,A
37,Move,user13,B
45,Move,user13,C
46,Move,user13,A
47,Move,user13,B
49,Move,user13,A
50,Delete,user13,A
29,Add,user14,C
34,Move,user14,A
38,Move,user14,B
39,Move,user14,A
44,Delete,user14,A
37,Add,user15,A
43,Move,user15,B
14,Add,user16,A
17,Move,user16,B
24,Move,user16,C
28,Move,user16,A
34,Move,user16,B
52,Move,user16,A
56,Delete,user16,A
56,Add,user17,C
58,Move,user17,A
19,Add,user18,B
25,Add,user19,C
26,Move,user19,A
31,Move,user19,B
34,Move,user19,C
36,Move,user19,A
40,Move,user19,B
44,Delete,user19,B
8,Add,user20,C
19,Move,user20,A
20,Move,user20,B
22,Move,user20,A
27,Move,user20,B
30,Delete,user20,B
